fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Petr Yan vs Deiveson Figueiredo,Petr Yan,Deiveson Figueiredo,Petr Yan,UFC Fight Night: Yan vs. Figueiredo,Mike Beltran,Decision - Unanimous,11.23.2024,Galaxy Arena,no,Main Event,17,24,5,3,0,1,31.0,36.0,Russia,Brazil,,,0,0,121 of 193,53 of 119,62%,44%,190 of 263,53 of 119,1 of 4,2 of 8,25%,25%,0,0,5,5:00,"5' 7""","5' 5""","67""","68""",Switch,Orthodox
Xiaonan Yan vs Tabatha Ricci,Yan Xiaonan,Tabatha Ricci,Yan Xiaonan,UFC Fight Night: Yan vs. Figueiredo,Marc Goddard,Decision - Unanimous,11.23.2024,Galaxy Arena,no,Co-Main Event,18,11,4,2,0,0,35.0,29.0,China,Brazil,,,0,0,78 of 161,15 of 103,48%,14%,89 of 172,17 of 106,0 of 0,1 of 3,---,33%,0,0,3,5:00,"5' 5""","5' 1""","63""","61""",Orthodox,Orthodox
Kenan Song vs Muslim Salikhov,Song Kenan,Muslim Salikhov,Muslim Salikhov,UFC Fight Night: Yan vs. Figueiredo,Mark Craig,KO/TKO,11.23.2024,Galaxy Arena,no,Main Card,20,22,5,8,0,0,40.0,34.0,Russia,China,,,0,1,9 of 21,20 of 28,42%,71%,11 of 23,20 of 28,0 of 1,0 of 1,0%,0%,0,0,1,3:49,"6' 0""","5' 11""","71""","70""",Orthodox,Orthodox
Cong Wang vs Gabriella Fernandes,Wang Cong,Gabriella Fernandes,Gabriella Fernandes,UFC Fight Night: Yan vs. Figueiredo,Marc Goddard,Submission,11.23.2024,Galaxy Arena,no,Main Card,9,6,3,0,0,0,31.0,32.0,Brazil,China,,,0,1,46 of 111,18 of 59,41%,30%,48 of 113,19 of 61,0 of 1,0 of 2,0%,0%,0,1,2,3:49,"5' 6""","5' 6""","66""","66""",Southpaw,Southpaw
Volkan Oezdemir vs Carlos Ulberg,Volkan Oezdemir,Carlos Ulberg,Carlos Ulberg,UFC Fight Night: Yan vs. Figueiredo,Mike Beltran,Decision - Unanimous,11.23.2024,Galaxy Arena,no,Main Card,10,20,1,7,0,0,34.0,35.0,New Zealand,Switzerland,,,0,0,96 of 183,98 of 204,52%,48%,96 of 183,98 of 204,0 of 2,0 of 0,0%,---,0,0,3,5:00,"6' 2""","6' 4""","75""","77""",Orthodox,Orthodox
Ozzy Diaz vs Mingyang Zhang,Zhang Mingyang,Ozzy Diaz,Zhang Mingyang,UFC Fight Night: Yan vs. Figueiredo,Kevin Sataki,KO/TKO,11.23.2024,Galaxy Arena,no,Main Card,9,17,2,6,0,0,34.0,26.0,United States,China,,,1,0,17 of 34,9 of 12,50%,75%,19 of 38,9 of 12,0 of 0,0 of 0,---,---,0,0,1,2:25,"6' 2""","6' 4""","75""","79""",Orthodox,Orthodox
Su Young You vs Baergeng Jieleyisi,Baergeng Jieleyisi,SuYoung You,SuYoung You,UFC Fight Night: Yan vs. Figueiredo,Mike Beltran,Decision - Unanimous,11.23.2024,Galaxy Arena,yes,Preliminary Card,19,13,5,3,0,0,28.0,28.0,China,South Korea,,,0,0,9 of 72,42 of 87,12%,48%,48 of 114,85 of 131,1 of 1,2 of 5,100%,40%,0,0,3,5:00,"5' 9""","5' 6""","70""","65""",Orthodox,Orthodox
Kiru Sahota vs DongHun Choi,Kiru Sahota,DongHun Choi,DongHun Choi,UFC Fight Night: Yan vs. Figueiredo,Mark Craig,KO/TKO,11.23.2024,Galaxy Arena,yes,Preliminary Card,8,12,0,2,0,0,25.0,29.0,South Korea,England,,,0,1,2 of 23,12 of 19,8%,63%,5 of 26,12 of 19,0 of 0,0 of 0,---,---,0,0,1,2:36,"5' 10""","5' 5""","73""","66""",Orthodox,Switch
Xiaocan Feng vs Ming Shi,Shi Ming,Feng Xiaocan,Shi Ming,UFC Fight Night: Yan vs. Figueiredo,Kevin Sataki,KO/TKO,11.23.2024,Galaxy Arena,yes,Preliminary Card,10,16,2,5,0,0,22.0,30.0,China,China,,,1,0,30 of 108,48 of 102,27%,47%,33 of 112,58 of 114,1 of 2,0 of 0,50%,---,0,0,3,0:46,"5' 2""","5' 7""","60""","66""",Orthodox,Southpaw
Carlos Hernandez vs Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,Carlos Hernandez,Carlos Hernandez,UFC Fight Night: Yan vs. Figueiredo,Marc Goddard,Decision - Split,11.23.2024,Galaxy Arena,no,Preliminary Card,8,9,0,4,0,0,26.0,31.0,Mongolia,United States,,,1,0,26 of 93,44 of 105,27%,41%,28 of 95,46 of 110,0 of 3,4 of 14,0%,28%,1,0,3,5:00,"5' 7""","5' 8""","71""","67""",Orthodox,Orthodox
